namePVS,nameSRC,codec,rate,mos,vmaf,vmaf_bagging,vmaf_stddev,vmaf_ci_p95_lo,vmaf_ci_p95_hi
LiquidAssetsdiver08_MPEG2at4M,LiquidAssetsdiver08,MPEG2,4000000,2.239,40.813,40.212,1.969,37.047,44.365
TheFootMusicVideo03_H264at2M,TheFootMusicVideo03,H264,2000000,3.718,63.926,63.400,1.785,60.409,66.480
PowerDig_H265at256K,PowerDig,H265,256000,2.665,52.403,51.835,2.010,48.993,55.700
NightLights_MPEG2at7M,NightLights,MPEG2,7000000,4.289,93.057,92.178,3.493,83.991,97.441
Railway_MPEG2at4M,Railway,MPEG2,4000000,3.746,9.867,9.296,7.726,0.021,23.819
LiquidAssetsdiver03_H264at2M,LiquidAssetsdiver03,H264,2000000,4.465,91.439,90.570,3.366,82.705,95.618
newstennis_MPEG2at7M,newstennis,MPEG2,7000000,4.606,88.899,88.027,2.590,83.579,92.220
TheFootMusicVideo08_H264at2M,TheFootMusicVideo08,H264,2000000,4.169,77.222,76.454,2.052,72.900,79.868
BoysTalk_H265at512K,BoysTalk,H265,512000,4.127,87.005,86.158,2.553,82.131,90.492
FlamencoVideo05_H265at512K,FlamencoVideo05,H265,512000,4.155,71.555,70.987,1.748,68.303,74.309
rosepath_H265at256K,rosepath,H265,256000,3.113,61.122,60.595,2.116,56.945,64.295
Boxing03_H264at2M,Boxing03,H264,2000000,4.803,90.963,90.239,2.396,85.531,94.013
FrontEndPart_H265at512K,FrontEndPart,H265,512000,4.169,12.376,12.375,1.117,10.619,24.489
Boxing04_H265at256K,Boxing04,H265,256000,3.099,67.603,67.346,1.988,63.593,70.634
TheFootMusicVideo05_H265at512K,TheFootMusicVideo05,H265,512000,3.479,66.985,66.406,2.004,63.354,70.257
FlamencoVideo07_MPEG2at2M,FlamencoVideo07,MPEG2,2000000,1.296,38.791,38.419,2.232,34.791,42.942
NightLights_H265at256K,NightLights,H265,256000,3.549,78.894,78.157,2.268,73.754,81.793
rainbow2b_MPEG2at4M,rainbow2b,MPEG2,4000000,1.803,39.188,38.478,2.692,34.394,44.479
snowfall5a_H265at512K,snowfall5a,H265,512000,2.197,22.860,23.630,4.504,17.857,31.764
TeaCupPolice_H265at256K,TeaCupPolice,H265,256000,2.338,65.133,64.544,2.232,61.323,68.441
TeaCupPolice_MPEG2at2M,TeaCupPolice,MPEG2,2000000,1.268,39.506,39.033,2.676,35.105,44.352
Boxing08_H264at2M,Boxing08,H264,2000000,3.845,79.917,79.979,1.259,77.814,82.145
LiquidAssetsdiver04_H265at256K,LiquidAssetsdiver04,H265,256000,4.014,82.750,81.939,2.478,76.747,85.681
snowfall_H265at512K,snowfall,H265,512000,1.761,18.274,19.277,7.078,9.700,31.791
Wind_H265at512K,Wind,H265,512000,2.394,23.281,22.691,3.481,18.138,30.328
Hood_H264at512K,Hood,H264,512000,2.141,43.699,43.360,1.737,40.852,46.699
Boxing07_H265at256K,Boxing07,H265,256000,2.958,62.207,61.877,1.845,59.135,65.614
TheFootMusicVideo06_H265at512K,TheFootMusicVideo06,H265,512000,3.338,46.730,46.495,1.837,43.374,49.814
poolhall_MPEG2at7M,poolhall,MPEG2,7000000,4.113,90.786,90.065,2.297,85.360,93.608
TheFootMusicVideo09_MPEG2at7M,TheFootMusicVideo09,MPEG2,7000000,3.972,76.395,75.615,2.136,71.997,79.182
newstennis_MPEG2at2M,newstennis,MPEG2,2000000,1.437,36.444,35.851,2.848,31.742,41.752
NightLights_MPEG2at2M,NightLights,MPEG2,2000000,1.296,44.234,43.817,1.299,41.483,46.084
LiquidAssetsdiver07_H265at256K,LiquidAssetsdiver07,H265,256000,2.056,27.227,26.778,3.003,22.735,32.928
snowfall_H265at1M,snowfall,H265,1000000,2.634,25.267,26.367,4.712,20.307,34.782
snowfall_H264at512K,snowfall,H264,512000,1.183,15.363,16.071,10.078,2.344,33.786
